ISO3,country_code,country,country_en,source_iso3_values,iso3_resolution,row_count,admin_code_count,lat_lon_count,state_count,states_sample,first_year,last_year,month_values,year_month_count,first_year_month,last_year_month,overall_phase_nonmissing_rows,source_file
KEN,KE,Kenya,Kenya,KEN,source_ISO3,15092,77,142,31,Baringo; Elgeyo-Marakwet County; Embu; Garissa; Homa Bay County; Isiolo; Kajiado County; Kiambu; Kilifi County; Kisumu County,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,570,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
LBN,LB,Lebanon,Lebanon,LBN,source_ISO3,17248,88,118,9,Akkar Governorate; Baalbek-Hermel Governorate; Beirut Governorate; Beqaa Governorate; Keserwan-Jbeil Governorate; Mount Lebanon Governorate; Nabatieh Governorate; North Governorate; South Governorate,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,406,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
LBR,LR,Liberia,Liberia,LBR,source_ISO3,2940,15,30,15,Bomi County; Bong County; Gbarpolu County; Grand Bassa County; Grand Cape Mount County; Grand Gedeh County; Grand Kru County; Lofa County; Margibi County; Maryland County,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,132,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
LSO,LS,Lesotho,Lesotho,LSO,source_ISO3,2500,13,23,10,Berea District; Butha-Buthe District; Leribe District; Mafeteng District; Maseru District; Mohale's Hoek District; Mokhotlong District; Qacha's Nek District; Quthing District; Thaba-Tseka District,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,110,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
MDG,MG,Madagascar,Madagascar,MDG,source_ISO3,15876,81,162,11,Analanjirofo; Androy; Anosy; Antsiranana Province; Atsimo-Andrefana; Atsimo-Atsinanana; Atsinanana; Diana Region; Fitovinany; Sava,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,520,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
MLI,ML,Mali,Mali,MLI,source_ISO3,9800,50,100,10,Gao; Kayes; Kidal; Koulikoro; Mopti; Ménaka; Région de Sikasso; Ségou; Taoudénit; Tombouctou,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,1103,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
MOZ,MZ,Mozambique,Mozambique,MOZ,source_ISO3,113664,580,1106,10,Cabo Delgado Province; Gaza Province; Inhambane Province; Manica Province; Maputo Province; Nampula Province; Niassa Province; Sofala Province; Tete Province; Zambezia Province,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,1835,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
MRT,MR,Mauritania,Mauritania,MRT,source_ISO3,9408,48,96,14,Adrar أدرار; Assaba العصابة; Brakna البراكنة; Dakhlet Nouadhibou ولاية داخلة نواذيبو; Gorgol كوركول; Guidimaka غيديماغا; Hodh Ech Chargui الحوض الشرقي; Hodh El Gharbi الحوض الغربي; Inchiri إينشيري; Nouakchott Nord نواكشوط الشمالية,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,440,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
MWI,MW,Malawi,Malawi,MWI,source_ISO3,7056,36,68,26,Balaka; Blantyre; Chikwawa; Chiradzulu; Dedza; Dowa; Karonga; Kasungu; Likoma; Lilongwe,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,372,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
NAM,,Namibia,Namibia,NAM,source_ISO3,2940,15,30,14,Erongo Region; Hardap; Karas; Kavango East; Kavango West; Khomas; Kunene Region; Ohangwena; Omaheke; Omusati,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,130,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
