admin_code,lat,lon,year,month
0,-34.0414249060,18.6722649590,2026,4
1,-34.0295412105,18.5629648720,2026,4
10,-31.5869538799,27.1631765773,2026,4
100,-25.6580223474,32.7115722273,2026,4
1000,-12.0645281552,40.1906530853,2026,4
100000,2.4541888736,10.9551275513,2026,4
100001,2.7737943529,12.6079906310,2026,4
100002,2.7935179928,15.2521244663,2026,4
100003,2.8263968963,11.4164600588,2026,4
100004,2.8751048763,16.3100601451,2026,4
100005,2.9087487636,10.3045738179,2026,4
100006,3.3375741135,13.5836448358,2026,4
100007,3.4021724385,11.5445152462,2026,4
100008,3.5025443405,15.9680350682,2026,4
100009,3.6095549067,11.3643722997,2026,4
100010,3.7155677544,10.8184994198,2026,4
100011,3.7630059872,18.4733400330,2026,4
100012,3.8061894217,16.7866908970,2026,4
100013,3.8071362250,11.5129213389,2026,4
100014,3.8593473650,12.3328513706,2026,4
100015,3.8827273775,15.2874403338,2026,4
100016,3.8954086730,15.5676105557,2026,4
100017,3.9447253249,10.3080262644,2026,4
100018,3.9583021237,11.8031579778,2026,4
100019,3.9999082086,9.6654669901,2026,4
100020,4.0014616238,17.9374243681,2026,4
100021,4.0728441151,17.3170036472,2026,4
100022,4.1489251655,11.4100654068,2026,4
100023,4.1777472973,9.2519652833,2026,4
100024,4.2686716113,14.3847557826,2026,4
100025,4.2913503541,15.8956000068,2026,4
100026,4.3317080327,18.4699269634,2026,4
100027,4.3660105092,17.1590649244,2026,4
100028,4.3755775948,21.8886284354,2026,4
100029,4.3815218679,18.5660608690,2026,4
100030,4.3948301264,15.1272741264,2026,4
100031,4.4263569716,22.5381916701,2026,4
100032,4.4975572592,21.2184506311,2026,4
100033,4.5013446584,7.1996754808,2026,4
100034,4.5026738123,7.5256794094,2026,4
100035,4.5045968994,7.4034616375,2026,4
100036,4.5322091885,10.1611495156,2026,4
100037,4.5354639974,6.7006797314,2026,4
100038,4.5435039663,21.5949116237,2026,4
100039,4.5770321200,6.9295369706,2026,4
100040,4.6263007966,20.8261786732,2026,4
100041,4.6432039280,9.3316469268,2026,4
100042,4.6472071058,7.1981646837,2026,4
100043,4.6655017194,7.2936387170,2026,4
100044,4.6713309884,9.7675503656,2026,4
100045,4.6721502987,7.0964273022,2026,4
100046,4.6786807475,12.5140692294,2026,4
100047,4.6828671436,7.4363669808,2026,4
100048,4.6953192342,22.1950914869,2026,4
100049,4.7197183645,16.1089486598,2026,4
100050,4.7261429968,-7.7725013770,2026,4
100051,4.7305097294,10.9674153243,2026,4
100052,4.7355831560,17.1404674063,2026,4
100053,4.7612855256,7.2581381866,2026,4
100054,4.7621766361,6.8442721560,2026,4
100055,4.7762908013,7.0230004174,2026,4
100056,4.7806405759,18.0343049109,2026,4
100057,4.7903386808,7.1459497253,2026,4
100058,4.7985689047,-8.2032903162,2026,4
100059,4.8067923760,8.5641436256,2026,4
100060,4.8218530545,15.1021795711,2026,4
100061,4.8388476043,7.3155349536,2026,4
100062,4.8400313811,6.5631124059,2026,4
100063,4.8649857057,7.0192784347,2026,4
100064,4.8730886067,8.3280725193,2026,4
100065,4.8902738975,8.9592626276,2026,4
100066,4.8962362162,8.4894773640,2026,4
100067,4.9317871367,7.4113164149,2026,4
100068,4.9461040592,7.2441387059,2026,4
100069,4.9659189077,16.6447255784,2026,4
100070,5.0084887300,6.7769027037,2026,4
100071,5.0115531733,8.3589427441,2026,4
100072,5.0172504117,-7.0433740253,2026,4
100073,5.0241785305,7.3499391872,2026,4
100074,5.0517456173,18.7204947939,2026,4
100075,5.0615102338,6.6391871263,2026,4
100076,5.0646185917,6.9068424616,2026,4
100077,5.0689273530,23.3021975310,2026,4
100078,5.0707223205,6.5182513886,2026,4
100079,5.0752705802,10.5961137944,2026,4
100080,5.0795390364,7.3431369455,2026,4
100081,5.0800427584,20.4323256501,2026,4
100082,5.0849252384,7.2344678523,2026,4
100083,5.0915698506,7.0915065977,2026,4
100084,5.1054627613,7.3676236701,2026,4
100085,5.1227589569,9.5986772318,2026,4
100086,5.1457436415,7.4653925673,2026,4
100087,5.1526290638,21.1961833548,2026,4
100088,5.1582115985,10.1837156451,2026,4
100089,5.1681805290,8.1466325442,2026,4
100090,5.1789230525,7.3207234026,2026,4
100091,5.2092718560,21.5912388683,2026,4
100092,5.2253119626,15.2176165711,2026,4
100093,5.2627086704,17.6160304176,2026,4
100094,5.2656299103,-5.9704814174,2026,4
100095,5.2739046539,-7.8051312661,2026,4
100096,5.2922546237,7.3973857829,2026,4
100097,5.3149104857,10.3503766297,2026,4
100098,5.3258636092,13.7655049364,2026,4
100099,5.3349532827,19.3974973463,2026,4
1001,-12.0641862619,40.1908590891,2026,4
100100,5.3454645932,-8.7582714639,2026,4
100101,5.3526152289,10.4713132261,2026,4
100102,5.3602910887,-4.7752151160,2026,4
100103,5.3921963979,7.4179528512,2026,4
100104,5.3947129553,6.6407727538,2026,4
100105,5.3998939859,-2.1475763142,2026,4
100106,5.4004509167,25.2373622269,2026,4
100107,5.4082675651,7.5771667994,2026,4
100108,5.4110024216,8.5342388644,2026,4
100109,5.4205386581,10.0808006987,2026,4
100110,5.4287357197,11.9892828095,2026,4
100111,5.4359023786,16.9827184370,2026,4
100112,5.4608613817,16.1410209822,2026,4
100113,5.4679741441,26.9728381065,2026,4
100114,5.4853860389,-3.1794922572,2026,4
100115,5.4899065498,7.4519841544,2026,4
100116,5.4990561368,26.3498162859,2026,4
100117,5.5140466875,18.2100059423,2026,4
100118,5.5168864023,7.8088269156,2026,4
100119,5.5386429431,10.4350723424,2026,4
100120,5.5465743941,8.0703251519,2026,4
100121,5.5673468860,-1.2140736803,2026,4
100122,5.5749903594,22.6457822971,2026,4
100123,5.5833760735,7.4854402569,2026,4
100124,5.5963744586,9.9396668322,2026,4
100125,5.6429800596,10.9165849986,2026,4
100126,5.6616115663,7.6068868827,2026,4
100127,5.6692072149,7.8003863283,2026,4
100128,5.6779077690,10.3080273197,2026,4
100129,5.7038128700,20.9127154205,2026,4
100130,5.7573805192,-5.4034158711,2026,4
100131,5.7729762460,19.9568557031,2026,4
100132,5.7868789575,14.8961542410,2026,4
100133,5.8015705173,7.4715109894,2026,4
100134,5.8042540664,8.1832014839,2026,4
100135,5.8068806373,0.0502473616,2026,4
100136,5.8101238691,24.2030488176,2026,4
100137,5.8202305116,19.1428457803,2026,4
100138,5.8223589325,9.3737237543,2026,4
100139,5.8524139020,-6.6681084888,2026,4
100140,5.8550823474,-9.3765334994,2026,4
100141,5.8617191898,8.7974667821,2026,4
100142,5.8868725970,8.0263751335,2026,4
100143,5.9351727583,-4.5180230145,2026,4
100144,5.9384614165,-8.2222132584,2026,4
100145,5.9484619213,16.5416802608,2026,4
100146,5.9574213442,15.4778325907,2026,4
