admin_code,lat,lon,year,month
0,-34.0414249060,18.6722649590,2025,1
0,-34.0414249060,18.6722649590,2025,2
0,-34.0414249060,18.6722649590,2025,3
0,-34.0414249060,18.6722649590,2025,4
0,-34.0414249060,18.6722649590,2025,5
0,-34.0414249060,18.6722649590,2025,6
0,-34.0414249060,18.6722649590,2025,7
0,-34.0414249060,18.6722649590,2025,8
0,-34.0414249060,18.6722649590,2025,9
0,-34.0414249060,18.6722649590,2025,10
0,-34.0414249060,18.6722649590,2025,11
0,-34.0414249060,18.6722649590,2025,12
0,-34.0414249060,18.6722649590,2026,1
0,-34.0414249060,18.6722649590,2026,2
0,-34.0414249060,18.6722649590,2026,3
0,-34.0414249060,18.6722649590,2026,4
1,-34.0295412105,18.5629648720,2025,1
1,-34.0295412105,18.5629648720,2025,2
1,-34.0295412105,18.5629648720,2025,3
1,-34.0295412105,18.5629648720,2025,4
1,-34.0295412105,18.5629648720,2025,5
1,-34.0295412105,18.5629648720,2025,6
1,-34.0295412105,18.5629648720,2025,7
1,-34.0295412105,18.5629648720,2025,8
1,-34.0295412105,18.5629648720,2025,9
1,-34.0295412105,18.5629648720,2025,10
1,-34.0295412105,18.5629648720,2025,11
1,-34.0295412105,18.5629648720,2025,12
1,-34.0295412105,18.5629648720,2026,1
1,-34.0295412105,18.5629648720,2026,2
1,-34.0295412105,18.5629648720,2026,3
1,-34.0295412105,18.5629648720,2026,4
10,-31.5869538799,27.1631765773,2025,1
10,-31.5869538799,27.1631765773,2025,2
10,-31.5869538799,27.1631765773,2025,3
10,-31.5869538799,27.1631765773,2025,4
10,-31.5869538799,27.1631765773,2025,5
10,-31.5869538799,27.1631765773,2025,6
10,-31.5869538799,27.1631765773,2025,7
10,-31.5869538799,27.1631765773,2025,8
10,-31.5869538799,27.1631765773,2025,9
10,-31.5869538799,27.1631765773,2025,10
10,-31.5869538799,27.1631765773,2025,11
10,-31.5869538799,27.1631765773,2025,12
10,-31.5869538799,27.1631765773,2026,1
10,-31.5869538799,27.1631765773,2026,2
10,-31.5869538799,27.1631765773,2026,3
10,-31.5869538799,27.1631765773,2026,4
100,-25.6580223474,32.7115722273,2025,1
100,-25.6580223474,32.7115722273,2025,2
100,-25.6580223474,32.7115722273,2025,3
100,-25.6580223474,32.7115722273,2025,4
100,-25.6580223474,32.7115722273,2025,5
100,-25.6580223474,32.7115722273,2025,6
100,-25.6580223474,32.7115722273,2025,7
100,-25.6580223474,32.7115722273,2025,8
100,-25.6580223474,32.7115722273,2025,9
100,-25.6580223474,32.7115722273,2025,10
100,-25.6580223474,32.7115722273,2025,11
100,-25.6580223474,32.7115722273,2025,12
100,-25.6580223474,32.7115722273,2026,1
100,-25.6580223474,32.7115722273,2026,2
100,-25.6580223474,32.7115722273,2026,3
100,-25.6580223474,32.7115722273,2026,4
1000,-12.0645281552,40.1906530853,2025,1
1000,-12.0645281552,40.1906530853,2025,2
1000,-12.0645281552,40.1906530853,2025,3
1000,-12.0645281552,40.1906530853,2025,4
1000,-12.0645281552,40.1906530853,2025,5
1000,-12.0645281552,40.1906530853,2025,6
1000,-12.0645281552,40.1906530853,2025,7
1000,-12.0645281552,40.1906530853,2025,8
1000,-12.0645281552,40.1906530853,2025,9
1000,-12.0645281552,40.1906530853,2025,10
1000,-12.0645281552,40.1906530853,2025,11
1000,-12.0645281552,40.1906530853,2025,12
1000,-12.0645281552,40.1906530853,2026,1
1000,-12.0645281552,40.1906530853,2026,2
1000,-12.0645281552,40.1906530853,2026,3
1000,-12.0645281552,40.1906530853,2026,4
100000,2.4541888736,10.9551275513,2025,1
100000,2.4541888736,10.9551275513,2025,2
100000,2.4541888736,10.9551275513,2025,3
100000,2.4541888736,10.9551275513,2025,4
100000,2.4541888736,10.9551275513,2025,5
100000,2.4541888736,10.9551275513,2025,6
100000,2.4541888736,10.9551275513,2025,7
100000,2.4541888736,10.9551275513,2025,8
100000,2.4541888736,10.9551275513,2025,9
100000,2.4541888736,10.9551275513,2025,10
100000,2.4541888736,10.9551275513,2025,11
100000,2.4541888736,10.9551275513,2025,12
100000,2.4541888736,10.9551275513,2026,1
100000,2.4541888736,10.9551275513,2026,2
100000,2.4541888736,10.9551275513,2026,3
100000,2.4541888736,10.9551275513,2026,4
100001,2.7737943529,12.6079906310,2025,1
100001,2.7737943529,12.6079906310,2025,2
100001,2.7737943529,12.6079906310,2025,3
100001,2.7737943529,12.6079906310,2025,4
100001,2.7737943529,12.6079906310,2025,5
100001,2.7737943529,12.6079906310,2025,6
100001,2.7737943529,12.6079906310,2025,7
100001,2.7737943529,12.6079906310,2025,8
100001,2.7737943529,12.6079906310,2025,9
100001,2.7737943529,12.6079906310,2025,10
100001,2.7737943529,12.6079906310,2025,11
100001,2.7737943529,12.6079906310,2025,12
100001,2.7737943529,12.6079906310,2026,1
100001,2.7737943529,12.6079906310,2026,2
100001,2.7737943529,12.6079906310,2026,3
100001,2.7737943529,12.6079906310,2026,4
100002,2.7935179928,15.2521244663,2025,1
100002,2.7935179928,15.2521244663,2025,2
100002,2.7935179928,15.2521244663,2025,3
100002,2.7935179928,15.2521244663,2025,4
100002,2.7935179928,15.2521244663,2025,5
100002,2.7935179928,15.2521244663,2025,6
100002,2.7935179928,15.2521244663,2025,7
100002,2.7935179928,15.2521244663,2025,8
100002,2.7935179928,15.2521244663,2025,9
100002,2.7935179928,15.2521244663,2025,10
100002,2.7935179928,15.2521244663,2025,11
100002,2.7935179928,15.2521244663,2025,12
100002,2.7935179928,15.2521244663,2026,1
100002,2.7935179928,15.2521244663,2026,2
100002,2.7935179928,15.2521244663,2026,3
100002,2.7935179928,15.2521244663,2026,4
100003,2.8263968963,11.4164600588,2025,1
100003,2.8263968963,11.4164600588,2025,2
100003,2.8263968963,11.4164600588,2025,3
100003,2.8263968963,11.4164600588,2025,4
100003,2.8263968963,11.4164600588,2025,5
100003,2.8263968963,11.4164600588,2025,6
100003,2.8263968963,11.4164600588,2025,7
100003,2.8263968963,11.4164600588,2025,8
100003,2.8263968963,11.4164600588,2025,9
100003,2.8263968963,11.4164600588,2025,10
100003,2.8263968963,11.4164600588,2025,11
100003,2.8263968963,11.4164600588,2025,12
100003,2.8263968963,11.4164600588,2026,1
100003,2.8263968963,11.4164600588,2026,2
100003,2.8263968963,11.4164600588,2026,3
100003,2.8263968963,11.4164600588,2026,4
100004,2.8751048763,16.3100601451,2025,1
100004,2.8751048763,16.3100601451,2025,2
100004,2.8751048763,16.3100601451,2025,3
100004,2.8751048763,16.3100601451,2025,4
100004,2.8751048763,16.3100601451,2025,5
100004,2.8751048763,16.3100601451,2025,6
100004,2.8751048763,16.3100601451,2025,7
100004,2.8751048763,16.3100601451,2025,8
100004,2.8751048763,16.3100601451,2025,9
100004,2.8751048763,16.3100601451,2025,10
100004,2.8751048763,16.3100601451,2025,11
100004,2.8751048763,16.3100601451,2025,12
100004,2.8751048763,16.3100601451,2026,1
100004,2.8751048763,16.3100601451,2026,2
100004,2.8751048763,16.3100601451,2026,3
100004,2.8751048763,16.3100601451,2026,4
100005,2.9087487636,10.3045738179,2025,1
100005,2.9087487636,10.3045738179,2025,2
100005,2.9087487636,10.3045738179,2025,3
100005,2.9087487636,10.3045738179,2025,4
100005,2.9087487636,10.3045738179,2025,5
100005,2.9087487636,10.3045738179,2025,6
100005,2.9087487636,10.3045738179,2025,7
100005,2.9087487636,10.3045738179,2025,8
100005,2.9087487636,10.3045738179,2025,9
100005,2.9087487636,10.3045738179,2025,10
100005,2.9087487636,10.3045738179,2025,11
100005,2.9087487636,10.3045738179,2025,12
100005,2.9087487636,10.3045738179,2026,1
100005,2.9087487636,10.3045738179,2026,2
100005,2.9087487636,10.3045738179,2026,3
100005,2.9087487636,10.3045738179,2026,4
100006,3.3375741135,13.5836448358,2025,1
100006,3.3375741135,13.5836448358,2025,2
100006,3.3375741135,13.5836448358,2025,3
100006,3.3375741135,13.5836448358,2025,4
100006,3.3375741135,13.5836448358,2025,5
100006,3.3375741135,13.5836448358,2025,6
100006,3.3375741135,13.5836448358,2025,7
100006,3.3375741135,13.5836448358,2025,8
100006,3.3375741135,13.5836448358,2025,9
100006,3.3375741135,13.5836448358,2025,10
100006,3.3375741135,13.5836448358,2025,11
100006,3.3375741135,13.5836448358,2025,12
100006,3.3375741135,13.5836448358,2026,1
100006,3.3375741135,13.5836448358,2026,2
100006,3.3375741135,13.5836448358,2026,3
100006,3.3375741135,13.5836448358,2026,4
100007,3.4021724385,11.5445152462,2025,1
100007,3.4021724385,11.5445152462,2025,2
100007,3.4021724385,11.5445152462,2025,3
100007,3.4021724385,11.5445152462,2025,4
100007,3.4021724385,11.5445152462,2025,5
100007,3.4021724385,11.5445152462,2025,6
100007,3.4021724385,11.5445152462,2025,7
100007,3.4021724385,11.5445152462,2025,8
100007,3.4021724385,11.5445152462,2025,9
100007,3.4021724385,11.5445152462,2025,10
100007,3.4021724385,11.5445152462,2025,11
100007,3.4021724385,11.5445152462,2025,12
100007,3.4021724385,11.5445152462,2026,1
100007,3.4021724385,11.5445152462,2026,2
100007,3.4021724385,11.5445152462,2026,3
100007,3.4021724385,11.5445152462,2026,4
100008,3.5025443405,15.9680350682,2025,1
100008,3.5025443405,15.9680350682,2025,2
100008,3.5025443405,15.9680350682,2025,3
100008,3.5025443405,15.9680350682,2025,4
100008,3.5025443405,15.9680350682,2025,5
100008,3.5025443405,15.9680350682,2025,6
100008,3.5025443405,15.9680350682,2025,7
100008,3.5025443405,15.9680350682,2025,8
100008,3.5025443405,15.9680350682,2025,9
100008,3.5025443405,15.9680350682,2025,10
100008,3.5025443405,15.9680350682,2025,11
100008,3.5025443405,15.9680350682,2025,12
100008,3.5025443405,15.9680350682,2026,1
100008,3.5025443405,15.9680350682,2026,2
100008,3.5025443405,15.9680350682,2026,3
100008,3.5025443405,15.9680350682,2026,4
100009,3.6095549067,11.3643722997,2025,1
100009,3.6095549067,11.3643722997,2025,2
100009,3.6095549067,11.3643722997,2025,3
100009,3.6095549067,11.3643722997,2025,4
100009,3.6095549067,11.3643722997,2025,5
100009,3.6095549067,11.3643722997,2025,6
100009,3.6095549067,11.3643722997,2025,7
100009,3.6095549067,11.3643722997,2025,8
100009,3.6095549067,11.3643722997,2025,9
100009,3.6095549067,11.3643722997,2025,10
100009,3.6095549067,11.3643722997,2025,11
100009,3.6095549067,11.3643722997,2025,12
100009,3.6095549067,11.3643722997,2026,1
100009,3.6095549067,11.3643722997,2026,2
100009,3.6095549067,11.3643722997,2026,3
100009,3.6095549067,11.3643722997,2026,4
100010,3.7155677544,10.8184994198,2025,1
100010,3.7155677544,10.8184994198,2025,2
100010,3.7155677544,10.8184994198,2025,3
100010,3.7155677544,10.8184994198,2025,4
100010,3.7155677544,10.8184994198,2025,5
100010,3.7155677544,10.8184994198,2025,6
100010,3.7155677544,10.8184994198,2025,7
100010,3.7155677544,10.8184994198,2025,8
100010,3.7155677544,10.8184994198,2025,9
100010,3.7155677544,10.8184994198,2025,10
100010,3.7155677544,10.8184994198,2025,11
100010,3.7155677544,10.8184994198,2025,12
100010,3.7155677544,10.8184994198,2026,1
100010,3.7155677544,10.8184994198,2026,2
100010,3.7155677544,10.8184994198,2026,3
100010,3.7155677544,10.8184994198,2026,4
100011,3.7630059872,18.4733400330,2025,1
100011,3.7630059872,18.4733400330,2025,2
100011,3.7630059872,18.4733400330,2025,3
100011,3.7630059872,18.4733400330,2025,4
100011,3.7630059872,18.4733400330,2025,5
100011,3.7630059872,18.4733400330,2025,6
100011,3.7630059872,18.4733400330,2025,7
100011,3.7630059872,18.4733400330,2025,8
100011,3.7630059872,18.4733400330,2025,9
100011,3.7630059872,18.4733400330,2025,10
100011,3.7630059872,18.4733400330,2025,11
100011,3.7630059872,18.4733400330,2025,12
100011,3.7630059872,18.4733400330,2026,1
100011,3.7630059872,18.4733400330,2026,2
100011,3.7630059872,18.4733400330,2026,3
100011,3.7630059872,18.4733400330,2026,4
100012,3.8061894217,16.7866908970,2025,1
100012,3.8061894217,16.7866908970,2025,2
100012,3.8061894217,16.7866908970,2025,3
100012,3.8061894217,16.7866908970,2025,4
100012,3.8061894217,16.7866908970,2025,5
100012,3.8061894217,16.7866908970,2025,6
100012,3.8061894217,16.7866908970,2025,7
100012,3.8061894217,16.7866908970,2025,8
100012,3.8061894217,16.7866908970,2025,9
100012,3.8061894217,16.7866908970,2025,10
100012,3.8061894217,16.7866908970,2025,11
100012,3.8061894217,16.7866908970,2025,12
100012,3.8061894217,16.7866908970,2026,1
100012,3.8061894217,16.7866908970,2026,2
100012,3.8061894217,16.7866908970,2026,3
