feature,family,source_file,source_sha256,output_file,output_sha256,selected_value_rule,areas_total,areas_with_value,missing_area_count,source_nonmissing_rows,max_distinct_values_per_area,varying_area_count,classification
AEZ_33000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_34000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_35000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_36000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_38000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_40000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_42000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_43000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
crop,asap_land_cover,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
range,asap_land_cover,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
distance_to_river,river_distance,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,180,16,slow_or_varying_in_source_panel
elevation,terrain,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
ruggedness,terrain,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
slope,terrain,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
sg_cec_5-15cm,isric_soilgrids,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,180,345,slow_or_varying_in_source_panel
sg_cfvo_5-15cm,isric_soilgrids,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,180,338,slow_or_varying_in_source_panel
sg_nitrogen_5-15cm,isric_soilgrids,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,180,345,slow_or_varying_in_source_panel
sg_phh2o_5-15cm,isric_soilgrids,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,180,300,slow_or_varying_in_source_panel
sg_soc_5-15cm,isric_soilgrids,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,180,345,slow_or_varying_in_source_panel
market_access,market_access,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
market_distance,market_access,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6086,141,1126053,10,5979,slow_or_varying_in_source_panel
popdensity,population_context,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,1308,4919,235440,1,0,verified_static_in_source_panel
coastline_dist,coastline_distance,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/Coastline_distance_NOAA/IPCCH_2026_price_completed_unique_lat_lon_coastline_dist.csv,a7e5b13c027c7c9b0ab5ee51930842de9f64f49daac5973283e60c5ddcf4d5be,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,coordinate match by rounded lat/lon,6227,6227,0,6227,1,0,verified_static_in_source_panel
