FEWSNET_admin_code,cluster_id,latitude,longitude,is_outlier,cluster_id_original
3041,2,-0.92511433,38.45224,False,2
3042,2,-0.4638907,38.299934,False,2
3043,2,-0.97157866,37.95258,False,2
3044,2,-0.0036258744,37.869026,False,2
3045,2,-0.13695511,37.823483,False,2
3046,2,-0.14349061,38.031567,False,2
3047,2,0.22202885,37.81162,False,2
3048,2,-1.2375487,37.581123,False,2
3049,2,-1.164302,37.143776,False,2
3050,2,-1.775067,37.439037,False,2
3051,2,-1.3417029,37.35875,False,2
3052,2,-1.259023,37.045647,False,2
3053,2,-1.417996,37.298763,False,2
3054,2,-1.8193313,37.33004,False,2
3055,2,-1.5695086,37.240997,False,2
3056,2,-1.8885121,37.519474,False,2
3057,2,-1.210098,37.2491,False,2
3058,2,-1.4379219,37.06569,False,2
3059,2,-1.6237607,37.47568,False,2
3060,2,-1.395168,37.406437,False,2
3061,2,-1.214355,37.10401,False,2
3062,2,-1.7883735,40.99408,False,2
3063,2,-0.428776,38.938946,False,2
3064,8,-1.1544785,40.358078,False,8
3065,8,-1.3703827,40.00697,False,8
3066,2,-0.85413307,39.6681,False,2
3067,8,-1.0595489,40.821617,False,8
3068,8,-0.7513221,40.582573,False,8
3069,8,-2.324972,40.21686,False,8
3070,8,-2.003384,39.984596,False,8
3071,8,-2.416141,40.15586,False,8
3072,2,-1.8502636,39.38091,False,2
3073,2,-2.0355794,39.38017,False,2
3074,2,-1.9640687,40.67043,False,2
3075,2,-0.97473794,39.33821,False,2
3076,8,-1.3524683,41.167046,False,8
3077,8,-1.6780089,40.56833,False,8
3078,8,-0.67761797,40.833206,False,8
3079,8,-1.7369329,39.997902,False,8
3080,8,-2.4342318,40.470325,False,8
3081,8,-2.4567063,40.30937,False,8
3082,8,-1.7395965,41.297657,False,8
3083,8,-1.7230825,40.266823,False,8
3084,2,-0.32495552,39.313572,False,2
3085,2,-1.5917836,39.909412,False,2
3086,8,-2.114922,40.5401,False,8
3087,2,-0.73399115,40.090073,False,2
3088,2,-0.58882046,39.529434,False,2
3089,8,-1.5327175,40.885357,False,8
3090,2,-1.4678146,39.387016,False,2
3091,8,-2.236992,40.38593,False,8
3092,2,-1.0622324,35.08314,False,2
3093,2,-1.6170754,36.94635,False,2
3094,2,-1.3817536,36.681625,False,2
3095,2,-1.2808179,36.481133,False,2
3096,2,-1.2606467,36.570534,False,2
3097,2,-1.1042482,34.88162,False,2
3098,2,-1.2298526,34.601692,False,2
3099,2,-1.1746374,34.51911,False,2
3100,2,-1.3880268,36.84186,False,2
3101,2,-1.1898557,36.557526,False,2
3102,2,-1.4490633,36.909737,False,2
3103,2,-0.97842854,36.36514,False,2
3104,2,-1.0578606,36.146137,False,2
3105,2,-0.9017192,35.88177,False,2
3106,2,-0.94651586,35.63949,False,2
3107,2,-1.0285162,35.410442,False,2
3108,2,-1.0989835,34.575993,False,2
3109,2,-1.134539,34.408215,False,2
3110,2,-2.194642,36.819996,False,2
3111,2,-2.0714498,37.248142,False,2
3112,2,-2.62925,37.45519,False,2
3113,2,-1.7856263,36.379944,False,2
3114,2,-2.6420817,37.96463,False,2
3115,2,-2.4187722,37.751087,False,2
3116,2,-1.3091938,34.901413,False,2
3117,2,-1.2908949,34.654133,False,2
3118,2,-1.2932094,36.062027,False,2
3119,2,-1.1684363,35.8362,False,2
3120,2,-1.5976158,35.840996,False,2
3121,2,-1.4394192,35.382496,False,2
3122,2,-2.8335974,37.994675,False,2
3123,2,-0.074335955,38.75209,False,2
3124,8,-1.3441882,40.014084,False,8
3125,8,-0.92217785,39.87058,False,8
3126,2,-0.041221227,38.66886,False,2
3127,8,-2.3270223,40.17196,False,8
3128,8,-2.0644994,40.1607,False,8
3129,8,-2.3893712,40.17306,False,8
3130,8,-1.7556242,40.11857,False,8
3131,2,-0.051783424,38.49669,False,2
3132,8,-2.4882717,40.24655,False,8
3133,2,-0.16283418,39.294327,False,2
3134,8,-1.5621113,40.07489,False,8
3135,2,-0.5478171,39.68961,False,2
3136,9,3.1033392,35.665943,False,9
3137,9,3.1373065,35.957424,False,9
3138,9,3.1168826,35.927242,False,9
3139,9,2.8697076,35.39986,False,9
3140,9,3.1494746,35.70958,False,9
3141,9,3.0137408,35.482784,False,9
3142,2,1.304839,36.72331,False,2
3143,2,1.1163967,36.894493,False,2
3144,2,0.47004017,35.7639,False,2
3145,2,0.7507139,35.79544,False,2
3146,2,0.48779598,36.068626,False,2
3147,2,1.4048493,36.80009,False,2
3148,9,1.5463781,34.984314,False,9
3149,2,1.2990955,36.21828,False,2
3150,9,1.5223864,35.158375,False,9
3151,2,0.7781081,35.620102,False,2
3152,2,0.01682694,36.845127,False,2
3153,2,0.4219812,36.906868,False,2
3154,2,0.3628795,36.509575,False,2
3155,2,0.89322174,36.85748,False,2
3156,2,1.1059297,36.505634,False,2
3157,16,1.1635648,35.590305,False,9
3158,2,0.9532384,35.60414,False,2
3159,2,1.1093534,36.686398,False,2
3160,2,1.4515036,36.488888,False,2
3161,2,0.6393146,37.13053,False,2
3162,9,1.3956238,35.31201,False,9
3163,2,1.2233801,36.570427,False,2
3164,9,1.4309527,35.55162,False,9
3165,2,0.9047272,36.57943,False,2
3166,2,1.0412767,36.022606,False,2
3167,2,1.06544,37.19784,False,2
3168,2,1.2467346,37.061886,False,2
3169,2,0.8858864,37.152596,False,2
