area_id,iso3,country,country_code,country_en
0,ZAF,South Africa,ZA,South Africa
1,ZAF,South Africa,ZA,South Africa
2,ZAF,South Africa,ZA,South Africa
3,ZAF,South Africa,ZA,South Africa
4,ZAF,South Africa,ZA,South Africa
5,ZAF,South Africa,ZA,South Africa
6,ZAF,South Africa,ZA,South Africa
7,ZAF,South Africa,ZA,South Africa
8,ZAF,South Africa,ZA,South Africa
9,ZAF,South Africa,ZA,South Africa
10,ZAF,South Africa,ZA,South Africa
11,LSO,Lesotho,LS,Lesotho
12,LSO,Lesotho,LS,Lesotho
13,ZAF,South Africa,ZA,South Africa
14,LSO,Lesotho,LS,Lesotho
15,ZAF,South Africa,ZA,South Africa
16,LSO,Lesotho,LS,Lesotho
17,LSO,Lesotho,LS,Lesotho
18,LSO,Lesotho,LS,Lesotho
19,LSO,Lesotho,LS,Lesotho
20,ZAF,South Africa,ZA,South Africa
21,ZAF,South Africa,ZA,South Africa
22,LSO,Lesotho,LS,Lesotho
23,LSO,Lesotho,LS,Lesotho
24,ZAF,South Africa,ZA,South Africa
25,LSO,Lesotho,LS,Lesotho
26,ZAF,South Africa,ZA,South Africa
27,LSO,Lesotho,LS,Lesotho
28,LSO,Lesotho,LS,Lesotho
29,LSO,Lesotho,LS,Lesotho
30,ZAF,South Africa,ZA,South Africa
31,ZAF,South Africa,ZA,South Africa
32,SWZ,Eswatini,SZ,Eswatini
33,SWZ,Eswatini,SZ,Eswatini
34,SWZ,Eswatini,SZ,Eswatini
35,NAM,Namibia,,Namibia
36,SWZ,Eswatini,SZ,Eswatini
37,SWZ,Eswatini,SZ,Eswatini
38,SWZ,Eswatini,SZ,Eswatini
39,SWZ,Eswatini,SZ,Eswatini
40,SWZ,Eswatini,SZ,Eswatini
41,SWZ,Eswatini,SZ,Eswatini
42,SWZ,Eswatini,SZ,Eswatini
43,SWZ,Eswatini,SZ,Eswatini
44,SWZ,Eswatini,SZ,Eswatini
45,SWZ,Eswatini,SZ,Eswatini
46,MOZ,Mozambique,MZ,Mozambique
47,MOZ,Mozambique,MZ,Mozambique
48,MOZ,Mozambique,MZ,Mozambique
49,MOZ,Mozambique,MZ,Mozambique
50,SWZ,Eswatini,SZ,Eswatini
51,ZAF,South Africa,ZA,South Africa
52,SWZ,Eswatini,SZ,Eswatini
53,SWZ,Eswatini,SZ,Eswatini
54,SWZ,Eswatini,SZ,Eswatini
55,ZAF,South Africa,ZA,South Africa
56,SWZ,Eswatini,SZ,Eswatini
57,SWZ,Eswatini,SZ,Eswatini
58,ZAF,South Africa,ZA,South Africa
59,ZAF,South Africa,ZA,South Africa
60,ZAF,South Africa,ZA,South Africa
61,ZAF,South Africa,ZA,South Africa
62,ZAF,South Africa,ZA,South Africa
63,ZAF,South Africa,ZA,South Africa
64,SWZ,Eswatini,SZ,Eswatini
65,SWZ,Eswatini,SZ,Eswatini
66,MOZ,Mozambique,MZ,Mozambique
67,MOZ,Mozambique,MZ,Mozambique
68,MOZ,Mozambique,MZ,Mozambique
69,MOZ,Mozambique,MZ,Mozambique
70,MOZ,Mozambique,MZ,Mozambique
71,MOZ,Mozambique,MZ,Mozambique
72,MOZ,Mozambique,MZ,Mozambique
73,MOZ,Mozambique,MZ,Mozambique
74,MOZ,Mozambique,MZ,Mozambique
75,MOZ,Mozambique,MZ,Mozambique
76,MOZ,Mozambique,MZ,Mozambique
77,MOZ,Mozambique,MZ,Mozambique
78,ZAF,South Africa,ZA,South Africa
79,MOZ,Mozambique,MZ,Mozambique
80,ZAF,South Africa,ZA,South Africa
81,MOZ,Mozambique,MZ,Mozambique
82,MOZ,Mozambique,MZ,Mozambique
83,MOZ,Mozambique,MZ,Mozambique
84,MOZ,Mozambique,MZ,Mozambique
85,MOZ,Mozambique,MZ,Mozambique
86,MOZ,Mozambique,MZ,Mozambique
87,MOZ,Mozambique,MZ,Mozambique
88,MOZ,Mozambique,MZ,Mozambique
89,MOZ,Mozambique,MZ,Mozambique
90,MOZ,Mozambique,MZ,Mozambique
91,MOZ,Mozambique,MZ,Mozambique
92,ZAF,South Africa,ZA,South Africa
93,MOZ,Mozambique,MZ,Mozambique
94,MOZ,Mozambique,MZ,Mozambique
95,MOZ,Mozambique,MZ,Mozambique
96,MOZ,Mozambique,MZ,Mozambique
97,ZAF,South Africa,ZA,South Africa
98,ZAF,South Africa,ZA,South Africa
100,MOZ,Mozambique,MZ,Mozambique
101,MOZ,Mozambique,MZ,Mozambique
102,MOZ,Mozambique,MZ,Mozambique
103,ZAF,South Africa,ZA,South Africa
104,MOZ,Mozambique,MZ,Mozambique
105,MDG,Madagascar,MG,Madagascar
106,MDG,Madagascar,MG,Madagascar
107,MDG,Madagascar,MG,Madagascar
108,MOZ,Mozambique,MZ,Mozambique
109,MOZ,Mozambique,MZ,Mozambique
110,MOZ,Mozambique,MZ,Mozambique
111,MOZ,Mozambique,MZ,Mozambique
112,MOZ,Mozambique,MZ,Mozambique
113,MOZ,Mozambique,MZ,Mozambique
114,MOZ,Mozambique,MZ,Mozambique
115,MDG,Madagascar,MG,Madagascar
116,MDG,Madagascar,MG,Madagascar
117,MDG,Madagascar,MG,Madagascar
118,MDG,Madagascar,MG,Madagascar
119,MOZ,Mozambique,MZ,Mozambique
120,MDG,Madagascar,MG,Madagascar
121,MDG,Madagascar,MG,Madagascar
122,MOZ,Mozambique,MZ,Mozambique
123,MOZ,Mozambique,MZ,Mozambique
124,MOZ,Mozambique,MZ,Mozambique
125,MOZ,Mozambique,MZ,Mozambique
126,MOZ,Mozambique,MZ,Mozambique
127,MOZ,Mozambique,MZ,Mozambique
128,MOZ,Mozambique,MZ,Mozambique
129,MOZ,Mozambique,MZ,Mozambique
130,MOZ,Mozambique,MZ,Mozambique
131,MOZ,Mozambique,MZ,Mozambique
132,MDG,Madagascar,MG,Madagascar
133,MDG,Madagascar,MG,Madagascar
134,MDG,Madagascar,MG,Madagascar
135,MDG,Madagascar,MG,Madagascar
136,MOZ,Mozambique,MZ,Mozambique
137,MOZ,Mozambique,MZ,Mozambique
138,MOZ,Mozambique,MZ,Mozambique
139,MOZ,Mozambique,MZ,Mozambique
140,MOZ,Mozambique,MZ,Mozambique
141,MOZ,Mozambique,MZ,Mozambique
142,MOZ,Mozambique,MZ,Mozambique
143,MOZ,Mozambique,MZ,Mozambique
144,MDG,Madagascar,MG,Madagascar
145,MDG,Madagascar,MG,Madagascar
146,MOZ,Mozambique,MZ,Mozambique
147,MOZ,Mozambique,MZ,Mozambique
148,MDG,Madagascar,MG,Madagascar
149,MOZ,Mozambique,MZ,Mozambique
150,MOZ,Mozambique,MZ,Mozambique
151,MOZ,Mozambique,MZ,Mozambique
152,MOZ,Mozambique,MZ,Mozambique
153,MOZ,Mozambique,MZ,Mozambique
154,MOZ,Mozambique,MZ,Mozambique
155,MOZ,Mozambique,MZ,Mozambique
156,NAM,Namibia,,Namibia
157,MDG,Madagascar,MG,Madagascar
158,MDG,Madagascar,MG,Madagascar
159,MDG,Madagascar,MG,Madagascar
160,MDG,Madagascar,MG,Madagascar
161,MDG,Madagascar,MG,Madagascar
162,MDG,Madagascar,MG,Madagascar
163,MDG,Madagascar,MG,Madagascar
164,MDG,Madagascar,MG,Madagascar
165,MOZ,Mozambique,MZ,Mozambique
166,MOZ,Mozambique,MZ,Mozambique
167,MOZ,Mozambique,MZ,Mozambique
168,MOZ,Mozambique,MZ,Mozambique
169,MOZ,Mozambique,MZ,Mozambique
170,MOZ,Mozambique,MZ,Mozambique
171,MOZ,Mozambique,MZ,Mozambique
172,MDG,Madagascar,MG,Madagascar
173,MDG,Madagascar,MG,Madagascar
174,MDG,Madagascar,MG,Madagascar
175,MOZ,Mozambique,MZ,Mozambique
176,MOZ,Mozambique,MZ,Mozambique
177,MOZ,Mozambique,MZ,Mozambique
178,MOZ,Mozambique,MZ,Mozambique
179,MOZ,Mozambique,MZ,Mozambique
180,MOZ,Mozambique,MZ,Mozambique
181,MOZ,Mozambique,MZ,Mozambique
182,MDG,Madagascar,MG,Madagascar
183,MOZ,Mozambique,MZ,Mozambique
184,MOZ,Mozambique,MZ,Mozambique
185,MOZ,Mozambique,MZ,Mozambique
186,MOZ,Mozambique,MZ,Mozambique
187,MOZ,Mozambique,MZ,Mozambique
188,MOZ,Mozambique,MZ,Mozambique
189,MOZ,Mozambique,MZ,Mozambique
190,MDG,Madagascar,MG,Madagascar
191,MDG,Madagascar,MG,Madagascar
192,MOZ,Mozambique,MZ,Mozambique
193,MOZ,Mozambique,MZ,Mozambique
194,MOZ,Mozambique,MZ,Mozambique
195,MOZ,Mozambique,MZ,Mozambique
196,MOZ,Mozambique,MZ,Mozambique
197,MOZ,Mozambique,MZ,Mozambique
198,MOZ,Mozambique,MZ,Mozambique
199,MOZ,Mozambique,MZ,Mozambique
200,MOZ,Mozambique,MZ,Mozambique
201,MOZ,Mozambique,MZ,Mozambique
202,MOZ,Mozambique,MZ,Mozambique
203,MOZ,Mozambique,MZ,Mozambique
204,ZAF,South Africa,ZA,South Africa
205,MDG,Madagascar,MG,Madagascar
206,MDG,Madagascar,MG,Madagascar
207,MDG,Madagascar,MG,Madagascar
208,MDG,Madagascar,MG,Madagascar
209,MDG,Madagascar,MG,Madagascar
210,MDG,Madagascar,MG,Madagascar
211,MDG,Madagascar,MG,Madagascar
212,MOZ,Mozambique,MZ,Mozambique
213,MOZ,Mozambique,MZ,Mozambique
214,MOZ,Mozambique,MZ,Mozambique
215,MOZ,Mozambique,MZ,Mozambique
216,MOZ,Mozambique,MZ,Mozambique
217,MOZ,Mozambique,MZ,Mozambique
218,MOZ,Mozambique,MZ,Mozambique
219,MDG,Madagascar,MG,Madagascar
220,MDG,Madagascar,MG,Madagascar
221,MDG,Madagascar,MG,Madagascar
222,MDG,Madagascar,MG,Madagascar
223,MDG,Madagascar,MG,Madagascar
224,MOZ,Mozambique,MZ,Mozambique
225,MDG,Madagascar,MG,Madagascar
226,MDG,Madagascar,MG,Madagascar
227,MOZ,Mozambique,MZ,Mozambique
228,MOZ,Mozambique,MZ,Mozambique
229,MOZ,Mozambique,MZ,Mozambique
230,MOZ,Mozambique,MZ,Mozambique
231,MOZ,Mozambique,MZ,Mozambique
232,MOZ,Mozambique,MZ,Mozambique
233,MOZ,Mozambique,MZ,Mozambique
234,NAM,Namibia,,Namibia
235,MOZ,Mozambique,MZ,Mozambique
236,MOZ,Mozambique,MZ,Mozambique
